step,psnr,ssim
0,23.23765,0.5951511
1,23.884937,0.6259889
2,24.162247,0.60576075
3,24.861425,0.63431585
4,23.825897,0.5883134
5,23.22321,0.5576852
6,24.194685,0.60968345
7,24.118265,0.6585399
6,22.083714,0.6087739
7,24.648773,0.63824654
8,22.531652,0.6120474
9,23.793736,0.61783653
10,23.867208,0.5925488
11,24.604916,0.60993797
12,23.315172,0.6175221
13,23.887234,0.65538377
14,23.929209,0.5771276
15,23.420567,0.63410705
16,24.605078,0.60775435
17,22.788073,0.5649623
18,23.023989,0.59186924
19,23.194315,0.63827467
20,23.722082,0.642919
21,24.466549,0.6239142
22,23.067913,0.5697684
23,24.587267,0.6091389
24,24.138235,0.6121611
25,22.80145,0.5542759
26,23.841188,0.6324225
27,23.999826,0.5887078
28,24.6154,0.62384325
29,21.893738,0.5473333
30,23.12056,0.5737036
31,23.496931,0.5457943
32,24.404291,0.6068582
33,23.089853,0.6244565
34,22.821995,0.6023122
35,23.846334,0.5849086
36,23.673016,0.59458214
37,23.87972,0.64287883
38,23.587938,0.60232174
39,22.89412,0.61317796
