step,psnr,ssim
0,29.295017,0.82571924
1,29.972622,0.81025296
2,30.300503,0.82876885
3,28.675959,0.7957319
4,27.683247,0.82753134
5,29.676975,0.8134659
6,29.00181,0.7992102
7,30.894886,0.80014217
8,30.59607,0.83445483
9,29.549164,0.8065403
10,29.041666,0.7864891
11,29.355194,0.8248838
12,29.358807,0.8246872
13,30.628643,0.79402864
14,29.095203,0.8108562
15,30.094135,0.75742364
16,28.462002,0.7976908
17,28.568104,0.8194901
18,28.988977,0.7956106
19,28.81541,0.7877768
20,29.894817,0.80211145
21,28.632565,0.7876934
22,28.321772,0.7794172
23,27.263882,0.77533525
24,29.543371,0.77024233
25,30.020864,0.81087095
26,28.612179,0.77915126
27,29.27415,0.77880627
28,27.287426,0.7945756
29,27.44051,0.7648093
30,29.420227,0.7882542
31,27.96932,0.77916926
32,27.88655,0.7770507
33,26.753424,0.8050329
34,28.849407,0.7786937
35,28.219091,0.755736
36,28.092213,0.7539271
37,28.646008,0.7499815
38,29.090403,0.75884867
39,27.082468,0.720709
