step,psnr,ssim
0,16.817457,0.61954343
1,24.450686,0.75820285
2,23.228529,0.77483267
3,27.819443,0.79633105
4,25.847687,0.7850057
5,25.898993,0.81006986
6,28.00764,0.7764741
7,27.932898,0.85406286
8,26.399673,0.8084218
9,25.041044,0.7871717
10,26.332758,0.7755013
11,27.62186,0.74671686
12,28.214031,0.79038465
13,25.307535,0.77516407
14,26.22557,0.81987286
15,26.03832,0.78680575
16,28.182602,0.821468
17,26.170023,0.71870506
18,27.25127,0.78217065
19,27.081263,0.7577674
20,26.95018,0.8392991
21,24.32141,0.68341583
22,26.384266,0.81747544
23,23.531866,0.73846096
24,25.430511,0.8429562
25,19.808178,0.7420102
26,25.23412,0.72411066
27,26.017279,0.820937
28,25.419336,0.62955165
29,26.158133,0.79460156
30,26.795847,0.7774587
31,23.8032,0.7295757
32,25.917522,0.75870824
33,23.633472,0.78839004
34,27.22844,0.7718125
35,27.038052,0.80430186
36,24.657393,0.7877501
37,24.453743,0.746796
38,27.284185,0.80314225
39,22.417068,0.6387384
40,30.70347,0.830547
41,28.228878,0.80975026
42,30.669048,0.8425395
43,28.61699,0.7763194
44,30.11327,0.84214973
45,29.577047,0.85646737
46,29.190577,0.7651184
47,29.211823,0.79068565
48,30.908426,0.83607197
49,28.993414,0.81830806
50,30.344925,0.84130204
51,29.744146,0.79423213
52,29.452082,0.8139018
53,29.130482,0.8248903
54,30.366596,0.81603414
55,27.886255,0.8078262
56,27.41415,0.81541264
57,30.526493,0.78340197
58,30.37061,0.843716
59,29.007236,0.82857007
