step,psnr,ssim
0,29.029754638671875,0.8299480676651001
1,29.693389892578125,0.7833810448646545
2,29.884593963623047,0.8048833608627319
3,29.73409080505371,0.7867040634155273
4,29.043231964111328,0.8247784376144409
5,30.143381118774414,0.8162941932678223
6,27.657909393310547,0.7942852973937988
7,28.911285400390625,0.7995889782905579
8,29.478496551513672,0.7907983064651489
9,27.48417091369629,0.7906484603881836
10,29.13714599609375,0.8038976788520813
11,28.146728515625,0.7884069681167603
12,27.669057846069336,0.7767950296401978
13,28.0362606048584,0.7760643362998962
14,28.957799911499023,0.7619085907936096
15,27.011377334594727,0.7589548230171204
16,27.970561981201172,0.7533835172653198
17,28.564716339111328,0.7367377877235413
