step,psnr,ssim
0,27.752140045166016,0.7393964529037476
1,28.33189582824707,0.7479504346847534
2,28.414491653442383,0.7457572817802429
3,28.265737533569336,0.7525012493133545
4,28.403514862060547,0.7440944910049438
5,28.640363693237305,0.7557051181793213
6,28.29813003540039,0.7437119483947754
7,28.59537696838379,0.7518088817596436
8,28.45680809020996,0.7537035346031189
9,27.884178161621094,0.7446490526199341
10,27.731264114379883,0.7429938912391663
11,28.607807159423828,0.7548238039016724
12,28.315677642822266,0.749197244644165
13,27.8290958404541,0.746586263179779
14,28.30454444885254,0.7492085695266724
15,27.613418579101562,0.7446994781494141
16,28.44038963317871,0.7566328048706055
17,25.546987533569336,0.7279253005981445
18,28.3308162689209,0.7474576234817505
19,28.43863296508789,0.7475061416625977
